,sequence,labels,scores
58,"Far more daring and truthful than any of her other novels, The North China Lover is a fascinating retelling of the dramatic experiences of Duras’s adolescence that shaped her most famous work. Initially conceived as notes toward a screenplay for The Lover, this later novel, written toward the end of her life, emphasizes the tougher aspects of her youth in Indochina, and possesses the feel of an intimate documentary.Both shocking and enthralling, the story Duras tells is “so powerfully imagined (or remembered) that it . . . lingers like a strong perfume” (Publishers Weekly). Hailed by the French critics as a return to “the Duras of the great books and the great days,” it is a mature and complex rendering of a formative period in the author’s life.","['weddings', 'university', 'family', 'relationships', 'divorce', 'friendship', 'break ups', 'death']","[0.8335871696472168, 0.5714582800865173, 0.3342043459415436, 0.32009467482566833, 0.07258768379688263, 0.071149542927742, 0.060037486255168915, 0.0228557288646698]"
59,"An international bestseller and winner of the Prix Goncourt, France's most prestigious literary award, The Ogre is a masterful tale of innocence, perversion, and obsession. It follows the passage of strange, gentle Abel Tiffauges from submissive schoolboy to ""ogre"" of the Nazi school at the castle of Kaltenborn, taking us deeper into the dark heart of fascism than any novel since The Tin Drum. Until the very last page, when Abel meets his mystic fate in the collapsing ruins of the Third Reich, it shocks us, dazzles us, and above all holds us spellbound.","['weddings', 'family', 'university', 'death', 'relationships', 'divorce', 'break ups', 'friendship']","[0.7464498281478882, 0.4125528037548065, 0.14636334776878357, 0.10879693180322647, 0.09268129616975784, 0.024623487144708633, 0.019145501777529716, 0.007057682145386934]"
60,"Strange Case of Dr Jekyll and Mr Hyde is the original title of a novella written by the famous Scottish author Robert Louis Stevenson that was first published in 1886. The work is commonly known today as The Strange Case of Dr Jekyll and Mr Hyde, Dr Jekyll and Mr Hyde, or simply Jekyll & Hyde. It is about a London lawyer named John Gabriel Utterson who investigates strange occurrences between his old friend, Dr Henry Jekyll, and the evil Edward Hyde.","['weddings', 'family', 'university', 'relationships', 'friendship', 'death', 'break ups', 'divorce']","[0.5743463635444641, 0.31432241201400757, 0.22677847743034363, 0.22046686708927155, 0.19834083318710327, 0.1262841820716858, 0.07913550734519958, 0.07001329958438873]"
61,"Who is Katherine Patterson? It is a question she hopes no one can answer. To erase her past, Katherine has moved to a new city, enrolled in a new school, and even changed her name. She’s done the next best thing to disappearing altogether. Now, wary and alone, she seeks nothing more than anonymity. What she finds instead is the last thing she expected: a friend.Even more unlikely, Katherine’s new friend is the most popular and magnetic girl in school. Extroverted, gorgeous, flirtatious, and unpredictable, she is everything that Katherine is not and doesn’t want to be: the center of attention. Yet Alice’s enthusiasm is infectious, her candor sometimes unsettling, and Katherine, in spite of her guarded caution, finds herself drawn into Alice’s private circle. But Alice has secrets, too—darker than anyone can begin to imagine. And when she lets her guard down at last, Katherine discovers the darkest of them all. For there will be no escaping the past for Katherine Patterson—only a descent into a trap far more sinister . . . and infinitely more seductive.","['friendship', 'weddings', 'relationships', 'university', 'family', 'break ups', 'death', 'divorce']","[0.5981035232543945, 0.49038317799568176, 0.4626423120498657, 0.26522770524024963, 0.2507563531398773, 0.2257252037525177, 0.17744003236293793, 0.1688031554222107]"
62,"This title has been removed from sale by Penguin Group, USA.","['relationships', 'break ups', 'death', 'divorce', 'weddings', 'friendship', 'family', 'university']","[0.5218729376792908, 0.3818441331386566, 0.3025570809841156, 0.29428353905677795, 0.25974276661872864, 0.2570283114910126, 0.25124430656433105, 0.180399090051651]"
63,"Murder and mystery continue in Book Four of the Cape Refuge series A famous mystery writer has just moved to Cape Refuge when a teenage girl is found murdered. Sheila Caruso–ex-con, mother to Sadie and Caleb, and resident of Hanover House–is working for the writer when she discovers that a scene in one of his novels matches the crime scene. When Police Chief Cade and Blair Owens discover a second dead teenager–mirroring a murder in another of the eccentric writer’s books–Cade is drawn into a web of trickery and deceit. Evidence turns up in Cade’s own truck, and suddenly he becomes the number-one suspect. Cade tries to clear his name, but when eighteen-year-old Sadie Caruso disappears, tensions mount to a fever pitch. Can Cade find the real killer before Sadie winds up dead? Is the novelist a demented killer, or a hapless victim? And what does Sadie’s own mother have to do with the crimes? Secrets are uncovered, while lessons are learned about the sins of the father being visited upon his children. Will the consequences of Sheila’s life be fatal, or is there redemption and mercy for her and her children? “Chief Matthew Cade rarely considered another line of work, but news of the dead teenage girl made him long for a job as an accountant or electrician—some benign vocation that didn’t require him to look into the eyes of grieving parents.”","['weddings', 'family', 'relationships', 'death', 'break ups', 'divorce', 'university', 'friendship']","[0.6832234263420105, 0.3329974114894867, 0.2835264503955841, 0.1754560023546219, 0.14290118217468262, 0.09862279891967773, 0.0959305539727211, 0.05333966016769409]"
64,"Jack and Annie are on their third mission to find (and inspire!) creative people to bring happiness to others through the arts (Mozart and Louis Armstrong so far). Set in Ireland, Jack and Annie meet an Irish girl and go on a magical adventure that changes the girl’s life—she grows up to be Lady Gregory, who helped bring back the Irish legends, started a theater, and helped the Irish people regain both their heritage and their pride.","['family', 'weddings', 'friendship', 'university', 'relationships', 'divorce', 'break ups', 'death']","[0.14306357502937317, 0.12098922580480576, 0.07229232788085938, 0.04530513659119606, 0.035114582628011703, 0.004031415097415447, 0.002470404142513871, 0.0004956051125191152]"
65,"What would you do if a simple errand takes a deadly twist, turning you from cautious prey to dangerous predator?Someone is trying to send a deadly message to Mason, arranging the deaths of those he loves and it puts the entire pack and Alpha on high alert. Darcy understands the primal instincts driving her beloved Mason's commands. With the help of those he sets as protectors, she learns about herself and the things she'll need to help support her Alpha and pack. When events turn dire however, one truth offers her strength - once given, oaths are unbreakable...even if it means risking it all.**This is the full length novel version of Without Mercy, Cherished, and Blood Oath*","['weddings', 'death', 'university', 'family', 'relationships', 'divorce', 'break ups', 'friendship']","[0.8070425391197205, 0.7664626240730286, 0.2101290374994278, 0.1789892613887787, 0.08236191421747208, 0.03284577280282974, 0.02860270068049431, 0.012098106555640697]"
66,"The Endless Quest...Troubles and delays continued to mount as Garion, Belgarath, Polgara, and the company pursued Zandramas across the known world. Possessed by the Dark Destiny, she had stolen Garion's infant son for a ritual that would destroy all that men valued. She was always one step ahead, taunting and spying on them, flying over in the form of a great dragon. Her armies, led by a Demon Lord, threatened on one side; on the other were the forces of Emperor Zakath, seeking to capture them. Somehow, as the Seeress of Kell had warned, they had to be at the Place Which Is No More for the ritual at the same time as Zandramas, or face disaster. But where that might be they still had no clue.","['death', 'weddings', 'university', 'relationships', 'divorce', 'break ups', 'family', 'friendship']","[0.792074978351593, 0.622959315776825, 0.5462034344673157, 0.48915573954582214, 0.47912201285362244, 0.22022201120853424, 0.182756245136261, 0.019299905747175217]"
67,"As The Surrounded  opens, Archilde León has just returned from the big city to his father's ranch on the Flathead Indian Reservation in Montana. The story that unfolds captures the intense and varied conflict that already characterized reservation life in 1936, when this remarkable novel was first published.Educated at a federal Indian boarding school, Archilde is torn not only between white and Indian cultures but also between love for his Spanish father and his Indian mother, who in her old age is rejecting white culture and religion to return to the ways of her people. Archilde's young contemporaries, meanwhile, are succumbing to the destructive influence of reservation life, growing increasingly uprooted, dissolute, and hopeless. Although Archilde plans to leave the reservation after a brief visit, his entanglements delay his departure until he faces destruction by the white man's law.In an early review of The Surrounded,  Oliver La Farge praised it as ""simple, clear, direct, devoid of affectations, and fast-moving."" He included it in his ""small list of creditable modern novels using the first Americans as theme."" Several decades later, long out of print but not forgotten, The Surrounded is still considered one of the best works of fiction by or about Native Americans.","['weddings', 'university', 'family', 'relationships', 'divorce', 'break ups', 'death', 'friendship']","[0.7865344285964966, 0.6338894963264465, 0.6030237078666687, 0.42733821272850037, 0.23619888722896576, 0.11795033514499664, 0.10654596984386444, 0.09986939281225204]"
68,"The king's scholar, the magus, believes he knows the site of an ancient treasure. To attain it for his king, he needs a skillful thief, and he selects Gen from the king's prison. The magus is interested only in the thief's abilities. What Gen is interested in is anyone's guess. Their journey toward the treasure is both dangerous and difficult, lightened only imperceptibly by the tales they tell of the old gods and goddesses.","['family', 'weddings', 'death', 'relationships', 'university', 'friendship', 'divorce', 'break ups']","[0.17305731773376465, 0.13175800442695618, 0.05491148680448532, 0.048786889761686325, 0.020465606823563576, 0.017566945403814316, 0.013289131224155426, 0.01221767719835043]"
69,"Terry Painter enjoys her quiet life in tranquil Delray, Florida, where the single, forty-year-old nurse lives alone in the house she inherited from her mother. When young, vibrant Alison Simms rents the cottage on her property, the two women strike up a fast friendship -- and Terry is swept into a fantastic new life: dinners out, shopping, makeovers, even flirting with the handsome son of one of her elderly patients. But nothing about her newfound companion is as it appears, as Terry discovers when Alison's closely guarded past comes to light. Now Terry is locked into a race to reclaim her own life -- before she opens the door any further to the stranger she thought she knew...","['friendship', 'weddings', 'relationships', 'break ups', 'family', 'divorce', 'university', 'death']","[0.8479436635971069, 0.8270416855812073, 0.7283344864845276, 0.6611175537109375, 0.31319084763526917, 0.2924256920814514, 0.29209133982658386, 0.10943993180990219]"
70,"Listening length: 17 hours, 17 minsutesThe Bodine ranch and resort in western Montana is a family business, an idyllic spot for vacationers. A little over thirty thousand acres and home to four generations, it’s kept running by Bodine Longbow with the help of a large staff, including new hire Callen Skinner. There was another member of the family once: Bodine’s aunt, Alice, who ran off before Bodine was born. She never returned, and the Longbows don’t talk about her much. The younger ones, who never met her, quietly presume she’s dead. But she isn’t. She is not far away, part of a new family, one she never chose—and her mind has been shattered…When a bartender leaves the resort late one night, and Bo and Cal discover her battered body in the snow, it’s the first sign that danger lurks in the mountains that surround them. The police suspect Cal, but Bo finds herself trusting him—and turning to him as another woman is murdered and the Longbows are stunned by Alice’s sudden reappearance. The twisted story she has to tell about the past—and the threat that follows in her wake—will test the bonds of this strong family, and thrust Bodine into a darkness she could never have imagined.","['family', 'weddings', 'university', 'relationships', 'death', 'break ups', 'divorce', 'friendship']","[0.7051251530647278, 0.5879302620887756, 0.4277173578739166, 0.3461895287036896, 0.2803906202316284, 0.22434863448143005, 0.15471136569976807, 0.07592542469501495]"
71,"Timber wolves, a Rocky Mountain blizzard, and a mine cave-in are only a few of the perils Frank and Joe Hardy encounter during their search for the principal members of a notorious gang responsible for a payroll robbery. In the old Montana mining camp of Lucky Lode, the young detectives puzzle over a series of mysterious events. A piano-playing ghost haunts the long-abandoned dance hall. Eerie blue lights flash from the hilltop cemetery in the dark of night. Strange men arrange a meeting at Shadow the Bear. A suspect disappears through a curtain of frozen ice. How are these events related to the men who kidnapped the boys in Chicago? Who booby-trapped the helicopter which flew the young detectives to the ghost town? And what ever happened to Bart Dawson who seemingly deserted his gold-mining partners twenty-five years ago? Clue by clue, Frank and Joe cleverly fit into place the scattered pieces of this dangerous puzzle and come up with the astonishing solution.","['weddings', 'relationships', 'family', 'university', 'death', 'break ups', 'divorce', 'friendship']","[0.5782643556594849, 0.36682453751564026, 0.09584767371416092, 0.08104626089334488, 0.06614477187395096, 0.04651360958814621, 0.011426717042922974, 0.008817068301141262]"
72,"For a quarter of a million years, an alien race has been hiding a vast and terrible secretIn the 25th century, only the Shoal possess the secret of faster-than-light travel (FTL), giving them absolute control over all trade and exploration throughout the galaxy. Mankind has operated within their influence for two centuries, establishing a dozen human colony worlds scattered along Shoal trade routes. Dakota Merrick, while serving as a military pilot, has witnessed atrocities for which this alien race is responsible. Now piloting a civilian cargo ship, she is currently ferrying an exploration team to a star system containing a derelict starship. From its wreckage, her passengers hope to salvage a functioning FTL drive of mysteriously non-Shoal origin. But the Shoal are not yet ready to relinquish their monopoly over a technology they acquired through ancient genocide.","['relationships', 'weddings', 'divorce', 'death', 'university', 'family', 'break ups', 'friendship']","[0.7841487526893616, 0.7710343599319458, 0.5243728160858154, 0.4218304455280304, 0.22291995584964752, 0.14416246116161346, 0.14333607256412506, 0.008019030094146729]"
73,"The Granger brothers left behind their family's Virginia estate and the bad memories it holds 151 years ago. But their dying grandfather's request brings them home: to a failing business, a legacy of secrets and a deathbed promise to make things right.As the eldest brother, attorney Jace Granger is determined to take responsibility for Granger Aeronautics, his family's failing business. But the years of mismanagement seem impossible to untangle. As CEO, he hires a consultant to turn the company around. Smart, sexy Shana Bradford is the right person for the job and the right woman to turn Jace's world upside down.But the passion between them is jeopardized when old secrets begin to emerge. A woman from Jace's past suddenly reappears. And an explosive discovery changes everything Jace thinks he knows about his mother and his father, who was convicted of her murder.Jace Granger tried to leave his family history behind once before. But this time he needs to face the past or risk losing his future.Three brothers. One legacy. A lifetime of secrets.","['family', 'weddings', 'relationships', 'death', 'university', 'break ups', 'divorce', 'friendship']","[0.9297215938568115, 0.7884292006492615, 0.6032767295837402, 0.5224573612213135, 0.349350243806839, 0.32662177085876465, 0.2998764216899872, 0.24315805733203888]"
74,"In Lord Emsworth and Others, readers are treated to a selection of familiar characters and places, in new and unfamiliar circumstances. Fans and initiates will be highly entertained.","['relationships', 'divorce', 'friendship', 'family', 'death', 'weddings', 'university', 'break ups']","[0.0995970070362091, 0.0907045379281044, 0.08514653891324997, 0.06592601537704468, 0.054643068462610245, 0.03947223722934723, 0.02607959508895874, 0.023201562464237213]"
75,"In 1975 Lucinda Marsh throws herself in front of a speeding train leaving her twelve-year-old daughter Kitty alone, confused and abandoned - save for a selfish aunt, a violent father and her childhood sweetheart Harry Jenkins.When Kitty is sent to an orphanage after the death of her father, she meets Georgie, a lively cockney girl who, through the following difficult years, becomes her loyal friend. Convinced that her feelings for Harry will ruin the brilliant future that lies ahead of him, Kitty turns her back on his love. Together with Georgie, she strives to find fulfilment in other places and other relationships, but when fate throws her back together with Harry she begins to wonder if true love can ever die . . .","['weddings', 'family', 'relationships', 'friendship', 'break ups', 'university', 'death', 'divorce']","[0.8431429862976074, 0.8199635148048401, 0.7086731195449829, 0.24290205538272858, 0.16212357580661774, 0.09385142475366592, 0.06779363751411438, 0.03621641919016838]"
76,"Wireless Communications, Second Edition is the definitive professional's overview of wireless communications technology and system design. Building on his classic first edition, Theodore S. Rappaport reviews virtually every important new wireless standard and technological development, including W-CDMA, cdma2000, UMTS, and UMC 136/EDGE; IEEE 802.11 and HIPERLAN WLANs; Bluetooth, LMDS, and more. Includes dozens of practical new examples, solved step by step.","['relationships', 'weddings', 'family', 'friendship', 'break ups', 'divorce', 'university', 'death']","[0.21412824094295502, 0.20261412858963013, 0.11426138132810593, 0.10536082834005356, 0.09902933984994888, 0.07096363604068756, 0.060194194316864014, 0.02244727872312069]"
77,"Carlin Reed lives in fear, off the grid, moving from place to place. So Battle Ridge, Wyoming, a small town in the middle of nowhere, seems like a good place to lie low for a while. But after becoming cook and housekeeper to cattle rancher Zeke Decker, Carlin suspects that she’s made her first mistake. Rugged, sexy, and too distracting for his own good, Zeke is pure temptation mixed with something deep and primal that makes Carlin feel almost safe. Soon things are getting way too hot in the kitchen.Zeke doesn't challenge Carlin’s terms: cash, dead bolts, and no questions. It is easy to see that she’s a woman in trouble. Problem is, he’s so blindsided by his attraction to her he can’t think straight. Zeke tries to stay all business, no complications—but that game plan is sabotaged the second Carlin gets under his skin. And when her terrifying past follows her to the ranch, Carlin faces a heartbreaking choice: run away from the man she loves, or put him in the crosshairs of a madman.","['relationships', 'weddings', 'break ups', 'family', 'university', 'divorce', 'death', 'friendship']","[0.7535025477409363, 0.7466283440589905, 0.5383215546607971, 0.3766740560531616, 0.30359578132629395, 0.26775529980659485, 0.26136624813079834, 0.1993332803249359]"
78,"Claire Rivers races to the mailbox to receive a letter of acceptance to Harvard University while a heavenly battle rages. In this fast-paced, suspenseful novel, the ageless war for the hearts and minds of students on our college campuses is revealed. Conflict between unseen evil and angelic forces reflects their battle for victorious living amidst confused messages. When Claire and her roommate encounter attacks on their faith, a deeper mystery -- involving Harvard's Christian heritage, the pull of money, and a dark plan for societal corruption -- unfolds around them. Will they succumb to temptation and destruction? What has become of Harvard's founding motto: Veritas, Christo et Ecclesiae -- ""Truth for Christ and the Church""? Can Claire -- with other praying students and their parents -- counteract the forces of humanism and relativism ... and what will it cost them to do so?","['university', 'weddings', 'family', 'relationships', 'friendship', 'death', 'divorce', 'break ups']","[0.8776435256004333, 0.7198966145515442, 0.4281795620918274, 0.39133939146995544, 0.08383609354496002, 0.054509516805410385, 0.03260904923081398, 0.023873889818787575]"
79,"Monster Club: Case of the Ivy Hollow Werewolf is the first book in a series of middle grade novels that follow twelve-year old Luke Staal and friends as they solve mysteries with a paranormal twist in the small town of Ivy Hollow. Luke Staal and his best friend, Oliver, know something strange is happening in Ivy Hollow. They heard the howling on the full moon. They saw the crime scene at Mike the Butcher’s Shop where the only thing stolen was raw meat. Bloody footprints point to a man and his dog, but Luke and Oliver aren’t so sure. Especially, after the discovery of murdered chickens on Lucian Gregory’s farm. All signs point to a werewolf. No one in town could possibly believe that such a creature is on the loose. To make matters worse, the school’s annual carnival is scheduled for the next full moon. With the help of Luke’s twin sister, Lily, and her best friend, Savannah, the Monster Club must solve the mystery of the Ivy Hollow Werewolf before the next full moon and save their town from imminent disaster.","['family', 'weddings', 'relationships', 'death', 'friendship', 'divorce', 'break ups', 'university']","[0.7252110838890076, 0.6143527030944824, 0.555757999420166, 0.3127267360687256, 0.13874289393424988, 0.05396278202533722, 0.021074417978525162, 0.010686535388231277]"
80,"Newport, Rhode Island: a world of old money, old names, and sinister secrets. Maggie Holloway, a fashion photographer, goes to visit a woman who had once been her stepmother, but when she arrives, the woman is dead, the victim of a violent robbery. Maggie is stunned when she learns that she's the beneficiary of the will - and even more stunned when she recognizes a pattern of murder in Newport society that will lead the killer straight to her.","['death', 'family', 'relationships', 'divorce', 'university', 'weddings', 'break ups', 'friendship']","[0.8641983866691589, 0.6055279970169067, 0.123493492603302, 0.057143956422805786, 0.032016102224588394, 0.028463607653975487, 0.008975821547210217, 0.006703974213451147]"
81,"The war of 1812 continues, and Jack Aubrey sets course for Cape Horn on a mission after his own heart: intercepting a powerful American frigate outward bound to play havoc with the British whaling trade. Stephen Maturin has fish of his own to fry in the world of secret intelligence. Disaster in various guises awaits them in the Great South Sea and in the far reaches of the Pacific: typhoons, castaways, shipwrecks, murder, and criminal insanity.","['weddings', 'death', 'relationships', 'family', 'break ups', 'university', 'divorce', 'friendship']","[0.47514986991882324, 0.20030109584331512, 0.13300539553165436, 0.08875290304422379, 0.035326555371284485, 0.014317990280687809, 0.008980837650597095, 0.0039801932871341705]"
82,"Find here the original trilogy from Anne Rice's bestselling series about the lives of Mayfair witches...The Witching HourDemonstrating once again her gift for spellbinding storytelling, Anne Rice makes real for us a great dynasty of four centuries of witches--a family given to poetry and incest, murder and philosophy, a family that over the ages is itself haunted by a powerful, dangerous, and seductive being called Lasher who haunts the Mayfair women...LasherAt the center of this novel: the brilliant and beautiful Rowan Mayfair, queen of the coven -- and Lasher, the darkly compelling demon whom she finds irresistible and from whose evil spell and vision she must now flee.  She takes with her their terrifying and exquisite child, one of ""a brood of children born knowing, able to stand and talk on the first day."" Rowan's attempt to escape Lasher and his pursuit of her and their child are at the heart of this extraordinary saga, moving around the globe, backward and forward through time, and between the human and demonic worlds...TaltosAshlar is the last of his race--or so he thinks. When he learns that another Taltos has been seen, he is suddenly propelled into the haunting world of the Mayfair family, the New Orleans dynasty of witches forever besieged by ghosts, spirits, and their own dizzying powers. For Ashlar knows this powerful clan is intimately linked to the heritage of the Taltos. This mesmerizing novel takes us on a wondrous journey back through the centuries to a civilization half-human, of wholly mysterious origin, at odds with mortality and immortality, justice and guilt. It is an enchanted, hypnotic world that could only come from the imagination of Anne Rice...","['weddings', 'relationships', 'university', 'divorce', 'family', 'break ups', 'death', 'friendship']","[0.7926890254020691, 0.7799805402755737, 0.7680986523628235, 0.7184553742408752, 0.7147266864776611, 0.4200745224952698, 0.3611376881599426, 0.3144668638706207]"
83,"Tito is in his early twenties. Born in Cuba, he speaks fluent Russian, lives in one room in a NoLita warehouse, and does delicate jobs involving information transfer. Hollis Henry is an investigative journalist, on assignment from a magazine called Node. Node doesn't exist yet, which is fine; she's used to that. But it seems to be actively blocking the kind of buzz that magazines normally cultivate before they start up. Really actively blocking it. It's odd, even a little scary, if Hollis lets herself think about it much. Which she doesn't; she can't afford to. Milgrim is a junkie. A high-end junkie, hooked on prescription antianxiety drugs. Milgrim figures he wouldn't survive twenty-four hours if Brown, the mystery man who saved him from a misunderstanding with his dealer, ever stopped supplying those little bubble packs. What exactly Brown is up to Milgrim can't say, but it seems to be military in nature. At least, Milgrim's very nuanced Russian would seem to be a big part of it, as would breaking into locked rooms. Bobby Chombo is a ""producer"", and an enigma. In his day job, Bobby is a troubleshooter for manufacturers of military navigation equipment. He refuses to sleep in the same place twice. He meets no one. Hollis Henry has been told to find him.","['weddings', 'relationships', 'break ups', 'family', 'friendship', 'divorce', 'university', 'death']","[0.454621285200119, 0.2484162449836731, 0.19617274403572083, 0.1445302814245224, 0.09896910190582275, 0.09498058259487152, 0.09334579110145569, 0.07767559587955475]"
84,"A medical breakthrough. A greedy pharmaceutical magnate. A brutal double-murder. One tangled web of lies.World-renowned scientist, Professor K is close to a ground-breaking discovery. He’s also dying. With his last breath, he anoints Dr Alexandra Delacroix his successor and pleads with her to carry on his work. But powerful forces will stop at nothing to possess the research, unwittingly plunging Delacroix into a treacherous world of unbridled ambition and greed. Desperate and alone, she turns to celebrated author and journalist, Jack Rogan.Rogan must help Delacroix while also assisting famous rock star Isis in the seemingly unrelated investigation into the brutal murder of her parents. With the support of Isis’ resourceful PA, a former police officer, a tireless campaigner for the destitute and forgotten, and a gifted boy with psychic powers, Rogan exposes a complex web of fiercely guarded secrets and heinous crimes of the past that can ruin them all and change history.Will the dreams of a visionary scientist with the power to change the future of medicine fall into the wrong hands, or will his genius benefit mankind and prevent untold misery and suffering for generations to come? The Hidden Genes of Professor K is Book 3 in Jack Rogan Mysteries Series but can be enjoyed as a stand-alone novel.“Outstanding Thriller” of 2017Independent Author Network Book of the Year Awards""The Hidden Genes of Professor K combines imagination, history, and knowledge of the leading edge of medical science to weave an epic tale of greed and intrigue. It takes the reader into the recesses of the human psyche, the hidden corners of history, and the dark matter of the human genome. The secrets are all there."" Professor John Mattick AO FAA, Executive Director of the Garvan Institute of Medical Research, Sydney, Australia 
   What readers are saying about The Hidden Genes of Professor K
 A fast-paced thriller that delves into the exciting world of DNA and genome research ~ Sally AsnicarA complex mystery with an intricate plot. ~ Saundra WrightThis is a fantastic book. There are so many twists & turns ... ~ S M R SARMAAnother amazingly well researched and written book. This time a medical mystery. Amazing is the only word for it!  ~ Dixie BeeI would recommend this to absolutely everybody who loves a medical suspense ... ~ Emmie ZeelieAn amazing read! Gabriel takes you on another enthralling journey ~ Ian Sanford A definite Dark, Disturbing Medical Thriller - Prepare for Intense Intrigue!  - Charla White","['weddings', 'relationships', 'divorce', 'university', 'friendship', 'family', 'death', 'break ups']","[0.7869651913642883, 0.7766445875167847, 0.7752440571784973, 0.7730082869529724, 0.7573095560073853, 0.6369732022285461, 0.508447527885437, 0.4184771776199341]"
85,"Garrett's detective, Lord Darcy, investigates a classic locked-room murder in an unconventional setting--a sorcerer's convention held in barely recognizable London. Gambling, espionage, and mind reading enter the solution.","['death', 'family', 'relationships', 'weddings', 'friendship', 'divorce', 'university', 'break ups']","[0.938239336013794, 0.11192326247692108, 0.014769269153475761, 0.010949746705591679, 0.005602470599114895, 0.0040168133564293385, 0.002207520417869091, 0.0018710959702730179]"
86,"Forced to take her life in a new direction when an injury ends her ballet career, Emma returns to her home in Australia and learns that she has inherited an isolated sheep station from a late grandmother who would impart key lessons about love and motherhood.","['family', 'relationships', 'weddings', 'friendship', 'break ups', 'divorce', 'university', 'death']","[0.9831512570381165, 0.9081403613090515, 0.748289167881012, 0.09227324277162552, 0.050111331045627594, 0.03022630698978901, 0.019110850989818573, 0.004149680025875568]"
87,"With the challenge complete and the corrupt Alpha of Coldspring defeated Fane is now free to complete the mate bond with Jacque and perform the Blood Rites. Although the challenge is done, the affects are far reaching. Once it is known that Vasile, one of the strongest Alphas in the world is in America, specifically Coldspring, TX, there is one Alpha who cannot over look the significance of this. An Alpha who happens to share Jacque's DNA, but is this the one she needs to fear? With her mom driving and her two best friends, Jen and Sally in tow, Jacque sets off for her happily ever after. She will soon realize a plan has been put in motion that will change her course and possibly tear her from Fane's grasp forever. It will take a wolf pack, her mother's love, her two best friend's unrelenting determination, her own will to survive and the undying love of her mate to bring her home. The question remains, if she fights, if she endures, who will she be, what will be left once she is back in her mates arms?","['relationships', 'weddings', 'family', 'friendship', 'break ups', 'university', 'divorce', 'death']","[0.7084600925445557, 0.6149864792823792, 0.46110406517982483, 0.40968838334083557, 0.18126125633716583, 0.15788283944129944, 0.1418306827545166, 0.07732077687978745]"
88,"From USA Today bestselling author Tara Sivec comes an emotional, breathtakingly romantic new book about the power of first love and the promise of second chances.How much can a man take before he breaks?1,843 days. That's how long I survived in that hellhole. They tried to break me, but I resisted. And I owe it all to the memory of warm summer nights, the scent of peaches, and the one woman who loved me more than I ever deserved to be loved. Now, I'll do anything to get back to her. Only Shelby Eubanks isn't the girl I left behind all those years ago. She's someone else, a stranger. My Shelby-my little green-eyed firecracker-would never give up her dreams, would never disappear into her mother's ambitions. But I won't give up on her. On us. I may be broken, and scarred, and not the man I used to be, but I will do whatever it takes to remind her of the story of us.","['relationships', 'weddings', 'family', 'university', 'friendship', 'divorce', 'break ups', 'death']","[0.9257678389549255, 0.8090516924858093, 0.8079363107681274, 0.6484788060188293, 0.3125216066837311, 0.09268355369567871, 0.07218299061059952, 0.02237105183303356]"
89,"Grandpa lives in a Maximum Security Twighlight Zone, and his Grandson attempts to set him free. Jack’s Grandpa… wears his slippers to the supermarket serves up tinned tongue for dinner and often doesn’t remember Jack’s name But he can still take to the skies in a speeding Spitfire and save the day… An exquisite portrait of the bond between a small boy and his beloved Grandpa – this book takes readers on an incredible journey with Spitfires over London and Great Escapes through the city in a high octane adventure full of comedy and heart. Illustrated by the award-winning Tony Ross.","['weddings', 'family', 'relationships', 'friendship', 'university', 'divorce', 'break ups', 'death']","[0.862507164478302, 0.8407690525054932, 0.6944050192832947, 0.3706590235233307, 0.28392472863197327, 0.22191952168941498, 0.02998240478336811, 0.008276182226836681]"
90,"Branwen must bravely follow destiny’s path even when it leads her into the enemy’s stronghold …Branwen is set her next task by the Shining Ones: she must rescue an ancient god trapped in a Saxon prison. But the trail leads into the heart of Saxon territory, and she and her followers face their greatest challenge yet…until she learns that she is being hunted by the most feared warrior of all Scandinavia. Surrounded by danger, it is the worst time for her loyal band to splinter. But as Branwen seeks to outgrow her mentor, tensions within her band are growing. In her darkest hour, can Branwen remain on destiny’s path?","['weddings', 'death', 'university', 'relationships', 'family', 'friendship', 'break ups', 'divorce']","[0.8147767186164856, 0.5324743390083313, 0.39325159788131714, 0.16042672097682953, 0.14882072806358337, 0.07716641575098038, 0.056793637573719025, 0.04480036720633507]"
91,"Jess, a young teacher in London, is attacked by someone she fears knows her well. Fleeing to her sister's house in the Welsh borders to recuperate, she is disturbed by the cries of a mysterious child. Two thousand years before, the same valley is the site of a great battle between Caractacus, king of the mighty Catuvellauni tribe, and the invading Romans. The proud king is captured and taken as a prisoner to Rome with his wife and daughter, the princess Eigon. Jess is inexorably drawn to investigate Eigon's story, and as the Welsh cottage is no longer a peaceful sanctuary she determines to visit Rome. There lie the connections that will reveal Eigon's astonishing life - and which threaten to reawaken Jess's own tormentor.Barbara Erskine's ability to weave together the past and the present, shedding light on a real but little-known figure, makes this a tremendous novel of Roman and Celtic history, passion and intrigue.","['weddings', 'family', 'relationships', 'university', 'friendship', 'divorce', 'death', 'break ups']","[0.6981810927391052, 0.6282473802566528, 0.36999139189720154, 0.33261433243751526, 0.08701789379119873, 0.07230393588542938, 0.07220295816659927, 0.06528812646865845]"
